Slug,Brand,Model,Name,Reference,Price (PHP),Retail Price (PHP),Condition,Box,Papers,Box Papers,Tier,Category,Status,Featured,Year,Nickname,Case Diameter,Case Material,Dial Color,Movement,Caliber,Bracelet Type,Complications,Market Trend,Annual Appreciation,Description,Images
rolex-sea-dweller-116660,Rolex,Sea-Dweller,Sea-Dweller Deepsea,116660,555000,,excellent,true,true,Full Set,A,Sport,AVAILABLE,false,,,,,,,,,,STABLE,0,"44mm – 2011 Model – Complete Set (Box & Papers)

A true first-generation Deepsea — the reference that redefined Rolex overengineering. This 2011 piece carries the full presence of the original 44mm titan.",/images/watches/1765425987130-909a2126-7301-4441-b3f1-71fd0cc2c479.jpg
rolex-air-king-white,Rolex,Air-King,Air-King White Dial,114200,255000,,excellent,true,true,Full Set,A,Sport,AVAILABLE,false,,,,,,,,,,STABLE,0,The Air-King 114200 — understated Rolex elegance with a clean 34mm Oyster case and crisp white dial. Perfect everyday Rolex.,/images/watches/1765427595256-592896953_823146460587169_938057869831863799_n.jpg|/images/watches/1765427599312-594521756_1175353957531569_7214112617392476837_n.jpg|/images/watches/1765427602682-597278018_1896140260991963_6558505547928746174_n.jpg|/images/watches/1765427605413-593461271_865876229190642_7294472613572267704_n.jpg
rolex-sea-dweller-16600,Rolex,Sea-Dweller,Sea-Dweller Classic,16600,499000,,excellent,true,true,Full Set,A,Sport,AVAILABLE,false,,,,,,,,,,STABLE,0,The iconic 40mm Rolex Sea-Dweller 16600 — the last of the classic tool-watch Sea-Dwellers before the Deepsea era. Increasingly hard to find locally in this condition.,/images/watches/1765427856467-597776441_1197602782297142_5894838198109499480_n.jpg|/images/watches/1765427859044-594965855_1207858407924904_7232997665361464537_n.jpg|/images/watches/1765427861238-597251117_839248932156483_539368327403361089_n.jpg|/images/watches/1765427863346-598357170_1188067536067447_5291503849299538933_n.jpg
rolex-submariner-126610ln,Rolex,Submariner,Submariner Date Black,126610LN,850000,,excellent,true,true,Full Set,A,Sport,AVAILABLE,false,,,,,,,,,,STABLE,0,"The definitive modern dive watch. 41mm case with Cerachrom ceramic bezel, powered by caliber 3235 with 70-hour power reserve. Complete set.",/images/watches/515854125_758367403235016_2502512267609732010_n.jpg
rolex-daytona-116500ln,Rolex,Daytona,Cosmograph Daytona Panda,116500LN,3500000,,Brand New,true,true,Full Set,A,Sport,AVAILABLE,false,,,,,,,,,,STABLE,0,"The holy grail of modern sport chronographs. White dial with black Cerachrom bezel — the iconic 'Panda' configuration. Caliber 4130 in-house chronograph. Brand new, full set.",/images/watches/566541052_2407016786379949_7623155474929843087_n.jpg
rolex-gmt-master-ii-batman,Rolex,GMT-Master II,GMT-Master II Batman,126710BLNR,1200000,,excellent,true,true,Full Set,A,Sport,AVAILABLE,false,,,,,,,,,,STABLE,0,"The Batman GMT on Jubilee — blue-and-black Cerachrom bezel, caliber 3285 with 70-hour power reserve. The perfect blend of sportiness and elegance. Complete set.",/images/watches/575870211_1146352707175342_7073445245693752964_n.jpg
patek-philippe-nautilus-5711,Patek Philippe,Nautilus,Nautilus Blue Dial,5711/1A-010,8500000,,excellent,true,true,Full Set,A,Luxury,AVAILABLE,false,,,,,,,,,,STABLE,0,The undisputed king of luxury sports watches. Discontinued 5711/1A with iconic blue dial and horizontal embossed pattern. 40mm stainless steel by Gérald Genta. Complete set.,/images/watches/578004370_813816914961758_7502182389608165417_n.jpg
patek-philippe-aquanaut-5167a,Patek Philippe,Aquanaut,Aquanaut Black,5167A-001,5500000,,excellent,true,true,Full Set,A,Sport,AVAILABLE,false,,,,,,,,,,STABLE,0,"Patek's modern sporty icon. Embossed black dial, 40mm steel case, tropical composite strap resistant to UV and saltwater. Caliber 324 S C. Complete set.",/images/watches/579910806_24958614173823160_3148753747947716812_n.jpg
patek-philippe-calatrava-5196g,Patek Philippe,Calatrava,Calatrava White Gold,5196G-001,2800000,,excellent,true,true,Full Set,B,Dress,AVAILABLE,false,,,,,,,,,,STABLE,0,"Pure dress watch perfection. 37mm 18K white gold case, silver opaline dial with dauphine hands, ultra-thin caliber 215 PS manual-wind. Complete set.",/images/watches/580915721_1439773308110309_4731107968848249299_n.jpg
audemars-piguet-royal-oak-15500st,Audemars Piguet,Royal Oak,Royal Oak Blue Dial,15500ST.OO.1220ST.01,3200000,,excellent,true,true,Full Set,A,Luxury,AVAILABLE,false,,,,,,,,,,STABLE,0,"The modern evolution of Gérald Genta's most revolutionary design. 41mm with blue Grande Tapisserie dial, caliber 4302 automatic. Complete set in excellent condition.",/images/watches/581876870_1753315978591921_8975370994657187369_n.jpg
audemars-piguet-royal-oak-offshore,Audemars Piguet,Royal Oak Offshore,Royal Oak Offshore Chrono,26470ST.OO.A027CA.01,2800000,,excellent,true,false,Full Set,A,Sport,AVAILABLE,false,,,,,,,,,,STABLE,0,"The original luxury sport chronograph. 42mm with Méga Tapisserie dial, flyback chronograph caliber 3126/3840. Rubber strap with titanium deployant. Box only.",/images/watches/12442c22-a54e-4f05-ae86-bbc135c375ca.png
cartier-santos-medium,Cartier,Santos,Santos de Cartier Medium,WSSA0029,350000,,excellent,true,true,Full Set,A,Luxury,AVAILABLE,false,,,,,,,,,,STABLE,0,"The first-ever purpose-built wristwatch, originally designed in 1904 for aviator Alberto Santos-Dumont. SmartLink bracelet with quick-switch system. Caliber 1847 MC. Complete set.",/images/watches/200ea1d8-fe5c-4b60-af39-c9d131ed1584.png
cartier-tank-francaise,Cartier,Tank Française,Tank Française Small,WSTA0065,280000,,Brand New,true,true,Full Set,B,Dress,AVAILABLE,false,,,,,,,,,,STABLE,0,"A modern icon of refined elegance. 2023 redesign with slimmer proportions and seamlessly integrated bracelet. Silvered dial with blued-steel sword-shaped hands. Brand new, full set.",/images/watches/39d8e5c4-0241-4574-a324-c9abf6651637.png
omega-speedmaster-moonwatch,Omega,Speedmaster,Speedmaster Moonwatch,310.30.42.50.01.001,420000,,excellent,true,true,Full Set,A,Sport,AVAILABLE,false,,,,,,,,,,STABLE,0,"The only watch qualified by NASA for all manned space missions. Latest generation with caliber 3861 co-axial master chronometer, retaining the iconic Hesalite crystal. Complete set.",/images/watches/472b96e2-649e-463b-81d5-ab77cbb6587f.png
